tweet_id,author_id,created_at,text
2000930371173802282,1832933061685616640,2025-12-16 14:05:50+00:00,"🚨#Hiring For- Data Analyst / Business Analyst

💸Package: 5-16 Lpa (Based on Experience)

▪️Experience: 0-5 Yrs
▪️Skills: SQL, Excel, Python/R, Tableau/Power BI, Data Cleaning &amp; Reporting, Business Intelligence

#DataAnalyst #Analytics #RemoteJobs #WorkFromHome #SQL #Python"
2000882185705021947,1749818413160239104,2025-12-16 10:54:22+00:00,"Senior Data Scientist (LLM Post-Training) - https://t.co/KMq0a9LhDe 

#grab #hiring #bengalurujobs #bengaluru #configurationmanagement #itoperations #servicemanagement  #dataanalyst #statisticaltechniques #sql #tableau #oraclefusioncloud"
2000837037272740214,1489521379859124228,2025-12-16 07:54:58+00:00,"🧑‍🎓 #Internship for Freshers 🧑‍💻

💼 Company: PwC
💡 Role: Management Consulting Internship
📚 Education: BTech, BCom, BBA, BE, MBA, MTech

Apply Now: 👉 https://t.co/7bB1LonP3H

RT to help a friend! 📣
#hiring #Advisor #Analyst #Analytics #Engineer #Consultant #DataAnalyst"
2000804330874790172,1489521379859124228,2025-12-16 05:45:00+00:00,"🧑‍🎓 Freshers #Job 🧑‍💻

💼 Company: Nasdaq eVestment
📍 Role: Business &amp; Research Analyst
💡 Exp Level: Freshers
📚 Education: BCom, BBA, BE, BTech

Apply Now: 👉 https://t.co/mW9ihZ8YGi

RT to help a friend! 📣
#hiring #Analyst #banking #BusinessAnalytics #ITJob #DataAnalyst"
2000529334180958620,1942178415874121728,2025-12-15 11:32:15+00:00,"📊 Hiring: Data Analyst – Onsite
📍 Mangalore / Mumbai / Pune / Bangalore
📩 Apply Now: https://t.co/zkntfnM32E
#DataAnalyst #SQLDeveloper #BankingJobs #FinancialAnalytics #DashboardDevelopment #UrgentHiring #KunbaHRConnect #MumbaiJobs #PuneJobs #BangaloreJobs #MangaloreJobs https://t.co/0SAQATlvDJ"
1999734338846621758,1489521379859124228,2025-12-13 06:53:14+00:00,"🧑‍🎓 Freshers #Job 🧑‍💻

💼 Company: Swiggy
📍 Role: Data Scientist I
💡 Experience Level: Freshers (0-3 years)
📚 Education: BE, BTech, MSc, ME, MTech

Apply Now: 👉 https://t.co/ruk0WcQBgc

RT to help a friend! 📣
#hiring #AI #CSE #ITJob #DataAnalyst #DataScience #GenAI #Graduate"
1999725121154801683,1832933061685616640,2025-12-13 06:16:36+00:00,"🚨#Hiring Open For Remote/ Hybrid/ On-site Jobs 
💸Salary: Upto ₹12 lac/year
➡️Apply: https://t.co/g14gLOX33q 
📬 Interested? Comment or DM your “Mail ID”

#DataAnalyst #Analytics #RemoteJobs #WorkFromHome #SQL #Python #PowerBI #Tableau #Excel #CareerGrowth #DataJobs #jobsearch https://t.co/Ak3eFFmfAk"
1999698293811486856,1918157751248977920,2025-12-13 04:30:00+00:00,"Want to become a job ready Data Analyst? Start by building the right toolkit.

Here’s what a complete Data Analyst garage really looks like.

Website: https://t.co/Yecu2BnHKW
FB/IG: @infinitylearningmumbai
X: @InfinityLearnMu 

#DataAnalytics #DataAnalyst #DataScience #BigData https://t.co/uPjT8jayqU"
1999362328937267578,1489521379859124228,2025-12-12 06:15:00+00:00,"🧑‍🎓 Freshers #Job 🧑‍💻

💼 Company: Siemens
📍 Role: Graduate Trainee Engineer
📚 Education: BE, BTech

Apply Now: 👉 https://t.co/Clj0P4Uorg

RT to help a friend! 📣
#hiring #AI #ITJob #DataAnalyst #Developer #Engineer #Graduate #PowerBI #Python #Trainee #Bangalore #jobs #india"
1999348670269911528,1965369163171713025,2025-12-12 05:20:43+00:00,"Data Analyst Internship — Remote 🧑‍💻📊
3 months | Unpaid | Apply by 26 Dec 2025
Tasks: collect &amp; clean data, EDA, visualizations &amp; dashboards, reporting, QA, docs, support model implementation.
Apply: https://t.co/MbJdwHhAA0
#DataAnalyst #Internship"
